word = 13, count = 4
word = 130, count = 2
word = 154, count = 2
word = 1772q, count = 1
word = 178, count = 1
word = 1807, count = 13
word = 1810, count = 3
word = 1825, count = 1
word = 19, count = 1
word = 1c, count = 12
word = 1e4, count = 6
word = 1f3, count = 27
word = 1hid, count = 1
word = 1st, count = 2
word = 2008, count = 2
word = 2011, count = 1
word = 208, count = 1
word = 217, count = 2
word = 22, count = 4
word = 22nd, count = 1
word = 244, count = 1
word = 2497, count = 1
word = 24th, count = 2
word = 2600txt, count = 1
word = 28, count = 3
word = 280, count = 1
word = 31, count = 5
word = 36034, count = 1
word = 37, count = 1
word = 392930txt, count = 1
word = 4, count = 24
word = 40, count = 2
word = 46, count = 1
word = 4x, count = 1
word = 55, count = 1
word = 64, count = 2
word = 6th, count = 2
word = 73, count = 1
word = 79, count = 1
word = 82, count = 1
word = 88, count = 1
word = 91, count = 2
word = 97, count = 1
word = 99712, count = 6
word = aah, count = 2
word = abandoned, count = 76
word = abbe, count = 18
word = abbess, count = 1
word = abdomen, count = 2
word = ability, count = 12
word = abjectly, count = 2
word = abjectness, count = 4
word = ably, count = 1
word = abolish, count = 1
word = abominable, count = 20
word = abraham’s, count = 1
word = abreast, count = 11
word = abrupt, count = 17
word = absentees, count = 2
word = absentminded, count = 24
word = absolutelyabsolutely, count = 1
word = absolution, count = 1
word = absorbed, count = 45
word = abstain, count = 8
word = abstinence, count = 1
word = abstract, count = 17
word = abstraction, count = 8
word = absurdly, count = 5
word = abuse, count = 42
word = abyss, count = 7
word = accept, count = 126
word = acceptable, count = 6
word = accepting, count = 19
word = accessory, count = 1
word = accidentor, count = 1
word = accidents, count = 3
word = acclaim, count = 1
word = accompaniments, count = 1
word = accomplice, count = 11
word = accoucheur, count = 1
word = accounts, count = 37
word = accumulated, count = 6
word = accumulations, count = 2
word = accurate, count = 5
word = accustomed, count = 68
word = accustoms, count = 1
word = aches, count = 12
word = achievementthough, count = 1
word = aching, count = 21
word = achingmdashin, count = 1
word = acknowledged, count = 15
word = acme, count = 3
word = acquaintancehe, count = 1
word = acquaintances, count = 63
word = acquired, count = 22
word = actact, count = 1
word = acting, count = 50
word = active, count = 64
word = adapt, count = 3
word = adapting, count = 2
word = addedallusions, count = 1
word = addison, count = 1
word = addressjust, count = 1
word = adds, count = 10
word = adelas, count = 1
word = adelaïda, count = 14
word = adheres, count = 2
word = adjectives, count = 2
word = adjusted, count = 9
word = adjutantsgeneral, count = 1
word = administration, count = 6
word = admiration, count = 32
word = admired, count = 18
word = admithe, count = 1
word = admits, count = 9
word = admonished, count = 4
word = admonitory, count = 1
word = adrip, count = 1
word = advanced, count = 82
word = advent, count = 3
word = adventurer, count = 1
word = advise, count = 31
word = adviser, count = 6
word = advocates, count = 4
word = affairs, count = 160
word = affairsnear, count = 1
word = affairsthis, count = 1
word = affairyes, count = 1
word = affections, count = 11
word = affinity, count = 4
word = affirmative, count = 4
word = affirms, count = 1
word = afflicted, count = 14
word = aforesaid, count = 3
word = afreshtoday, count = 1
word = afternoon, count = 47
word = afterqq, count = 1
word = afterward, count = 1
word = afterwardsbut, count = 1
word = afterwardsyou, count = 1
word = agei, count = 1
word = ageit, count = 1
word = agents, count = 4
word = age’, count = 1
word = aggrieved, count = 6
word = agileshe, count = 1
word = agitatedq, count = 1
word = agitation, count = 96
word = aglayaand, count = 1
word = aglayabut, count = 1
word = aglayahad, count = 1
word = aglayaimpossible, count = 1
word = aglayas, count = 40
word = agoand, count = 2
word = agone, count = 1
word = agonizing, count = 16
word = agoq, count = 9
word = agothat, count = 1
word = agree, count = 158
word = agreeing, count = 3
word = ague, count = 2
word = aha, count = 8
word = aidedecamps, count = 1
word = aidesdecamp, count = 16
word = aime, count = 6
word = aimless, count = 6
word = aimsonly, count = 1
word = air, count = 363
word = akim, count = 2
word = alarmed, count = 82
word = alarmthe, count = 1
word = alcohol, count = 1
word = aleksey, count = 1
word = alexander, count = 121
word = alexandersbekleshev, count = 1
word = alexandre, count = 2
word = alexandrovnaseeing, count = 1
word = alexey, count = 149
word = alexyevitch, count = 1
word = alias, count = 1
word = alienating, count = 1
word = alighted, count = 5
word = aliveq, count = 5
word = allayed, count = 1
word = alleverything, count = 2
word = allgood, count = 1
word = alli, count = 2
word = allmdashthou, count = 1
word = allmdashwhat, count = 1
word = alloitil, count = 1
word = allot, count = 2
word = allowed, count = 132
word = allseeing, count = 1
word = allto, count = 2
word = allurements, count = 2
word = almacks, count = 1
word = almonds, count = 1
word = aloft, count = 5
word = aloneand, count = 1
word = aloneincurring, count = 1
word = alonewould, count = 1
word = alongq, count = 8
word = alongquick, count = 1
word = alphonse, count = 1
word = already, count = 663
word = alsoand, count = 1
word = alsobut, count = 1
word = alterations, count = 1
word = alteredfor, count = 1
word = alternate, count = 9
word = alternatives, count = 1
word = altogetherq, count = 3
word = altogether’, count = 1
word = amazementonly, count = 1
word = amazingly, count = 2
word = ambiguous, count = 2
word = ambitions, count = 4
word = ambulance, count = 5
word = amdashkaramazov, count = 1
word = amende, count = 2
word = amicably, count = 7
word = amidst, count = 10
word = amie, count = 2
word = amorous, count = 4
word = amorphous, count = 1
word = amount, count = 30
word = amounting, count = 3
word = amountsq, count = 1
word = amulet, count = 2
word = amusementq, count = 1
word = amuses, count = 2
word = amusing, count = 57
word = amwhat, count = 1
word = ana, count = 1
word = analyses, count = 1
word = analysing, count = 3
word = analyze, count = 7
word = ancestors, count = 5
word = anchors, count = 1
word = ancient, count = 66
word = andi, count = 1
word = andmdashwhat, count = 1
word = andno, count = 1
word = andoh, count = 1
word = andre, count = 2
word = andrewa, count = 1
word = andrewand, count = 1
word = andrewnot, count = 1
word = andrewrelapsing, count = 1
word = andrews, count = 96
word = andrewsaid, count = 1
word = andreyq, count = 5
word = andwhats, count = 1
word = anecdoteq, count = 1
word = angered, count = 12
word = angrier, count = 6
word = angrybut, count = 1
word = angrythat, count = 1
word = animatedly, count = 1
word = animation, count = 45
word = anne, count = 8
word = anniversary, count = 8
word = announcements, count = 2
word = annoyancesomething, count = 1
word = annoyed, count = 40
word = anotheraglaya, count = 1
word = anotherpierre, count = 1
word = answeredthe, count = 1
