word = 1014, count = 2
word = 105, count = 6
word = 114, count = 4
word = 123, count = 4
word = 1230, count = 1
word = 132, count = 1
word = 1320, count = 1
word = 141, count = 3
word = 1418, count = 1
word = 149, count = 2
word = 15, count = 19
word = 150, count = 6
word = 1500, count = 4
word = 150170, count = 1
word = 1517, count = 2
word = 158, count = 1
word = 167, count = 2
word = 175180, count = 1
word = 1823, count = 1
word = 185, count = 5
word = 1876, count = 1
word = 1894, count = 1
word = 1904, count = 3
word = 1922, count = 1
word = 194, count = 1
word = 1e, count = 8
word = 1e8, count = 16
word = 204, count = 2
word = 213, count = 1
word = 231, count = 2
word = 24, count = 13
word = 240, count = 1
word = 248, count = 1
word = 3183zip, count = 1
word = 3236, count = 1
word = 33, count = 5
word = 3650, count = 1
word = 36xviii, count = 1
word = 3842except, count = 1
word = 39288, count = 1
word = 42, count = 5
word = 4550, count = 1
word = 45viii, count = 2
word = 51, count = 2
word = 510, count = 1
word = 518, count = 1
word = 59, count = 3
word = 6, count = 16
word = 60, count = 7
word = 671, count = 1
word = 68, count = 1
word = 77, count = 1
word = 7iv, count = 1
word = 8590, count = 1
word = 86, count = 1
word = 95, count = 18
word = abba, count = 1
word = abolish, count = 1
word = absently, count = 1
word = absorbed, count = 6
word = abstain, count = 2
word = abyss, count = 2
word = access, count = 42
word = accessible, count = 6
word = accommodation, count = 2
word = according, count = 26
word = accursed, count = 1
word = aching, count = 1
word = actual, count = 14
word = adequate, count = 2
word = adjacent, count = 2
word = admire, count = 2
word = admits, count = 1
word = advance, count = 5
word = advent, count = 1
word = adverse, count = 3
word = advocates, count = 1
word = affected, count = 9
word = affectionately, count = 2
word = affinity, count = 3
word = affirmative, count = 1
word = afflicted, count = 1
word = afford, count = 7
word = after, count = 208
word = afteryearswhat, count = 1
word = agents, count = 4
word = aguethere, count = 1
word = aid, count = 2
word = ajar, count = 2
word = alchemist, count = 1
word = allall, count = 1
word = allege, count = 1
word = alleys, count = 1
word = allows, count = 1
word = alloyed, count = 1
word = alludes, count = 2
word = allusions, count = 1
word = alpheus, count = 1
word = already, count = 51
word = alterations, count = 1
word = am, count = 70
word = amazement, count = 4
word = america, count = 1
word = ames, count = 1
word = amethysts, count = 1
word = among, count = 73
word = ancient, count = 38
word = angels, count = 18
word = animal, count = 2
word = anticipated, count = 1
word = anticipations, count = 2
word = antinomian, count = 2
word = antiochian, count = 1
word = anxiety, count = 4
word = anyone, count = 21
word = anything, count = 34
word = apace, count = 1
word = ape, count = 5
word = apollos, count = 7
word = apologist, count = 1
word = apoplexy, count = 1
word = appeared, count = 8
word = appreciate, count = 7
word = apprentices, count = 1
word = approaches, count = 1
word = aptly, count = 1
word = arabic, count = 1
word = arch, count = 1
word = archive, count = 58
word = arisen, count = 2
word = armfuls, count = 1
word = arose, count = 4
word = arrested, count = 3
word = artists, count = 4
word = asia, count = 42
word = asleep, count = 9
word = assert, count = 3
word = assistance, count = 4
word = assistant, count = 2
word = assumed, count = 8
word = attained, count = 5
word = attempts, count = 4
word = attendants, count = 2
word = au, count = 1
word = authoresses, count = 1
word = autumn, count = 4
word = avert, count = 1
word = avoidance, count = 2
word = avowal, count = 1
word = awaking, count = 1
word = awhile, count = 7
word = baby, count = 1
word = babylonrightly, count = 1
word = backed, count = 1
word = backreflect, count = 1
word = backwards, count = 1
word = baptists, count = 1
word = barefoot, count = 1
word = barnabas, count = 20
word = baron, count = 2
word = barriers, count = 2
word = baseless, count = 1
word = basis, count = 15
word = basket, count = 2
word = battlecry, count = 1
word = beating, count = 7
word = beauties, count = 1
word = beautifully, count = 2
word = beauty, count = 6
word = beetling, count = 1
word = befell, count = 2
word = beforehand, count = 1
word = beg, count = 4
word = beggarboy, count = 1
word = behalf, count = 3
word = beheaded, count = 1
word = behind, count = 29
word = behneseh, count = 1
word = belongs, count = 5
word = benumbed, count = 1
word = best, count = 20
word = bestowing, count = 1
word = betrays, count = 1
word = between, count = 69
word = biblical, count = 2
word = bitter, count = 6
word = bleeding, count = 1
word = blessed, count = 8
word = blest, count = 1
word = blinded, count = 1
word = blindness, count = 2
word = blossoms, count = 7
word = blouse, count = 2
word = bluntly, count = 2
word = boasted, count = 1
word = boat, count = 1
word = body, count = 22
word = boil, count = 1
word = boldness, count = 1
word = bottle, count = 1
word = brawlers, count = 1
word = breadth, count = 1
word = brethren, count = 12
word = breton, count = 4
word = bring, count = 27
word = bros, count = 2
word = brutal, count = 1
word = buds, count = 2
word = bunglers, count = 1
word = burghers, count = 1
word = burns, count = 2
word = calling, count = 2
word = calmly, count = 2
word = calvary, count = 4
word = came, count = 105
word = camped, count = 1
word = candles, count = 9
word = canons, count = 1
word = cant, count = 1
word = caprices, count = 1
word = career, count = 2
word = careful, count = 2
word = careless, count = 1
word = carried, count = 13
word = caseau, count = 1
word = catastrophe, count = 1
word = caterpillars, count = 1
word = centuries, count = 1
word = ceremony, count = 3
word = chamber, count = 10
word = chance, count = 8
word = changed, count = 5
word = chapters, count = 1
word = charge, count = 19
word = chariot, count = 3
word = charles, count = 4
word = chillily, count = 1
word = chimed, count = 1
word = choicest, count = 2
word = choke, count = 1
word = chose, count = 6
word = christmaseve, count = 1
word = circle, count = 3
word = clergyman, count = 1
word = clients, count = 3
word = cloak, count = 12
word = closed, count = 4
word = closet, count = 5
word = cloth, count = 8
word = clothes, count = 15
word = clouds, count = 1
word = club, count = 1
word = cluster, count = 1
word = coalhod, count = 1
word = coals, count = 2
word = coast, count = 1
word = colourgrinders, count = 2
word = comego, count = 1
word = comfort, count = 5
word = commonplace, count = 1
word = completely, count = 5
word = complexion, count = 2
word = complying, count = 9
word = composed, count = 1
word = computers, count = 6
word = concerning, count = 13
word = confessed, count = 3
word = conscientious, count = 1
word = consent, count = 1
word = constant, count = 3
word = consume, count = 1
word = contempt, count = 3
word = contemptible, count = 2
word = continuing, count = 1
word = contrive, count = 1
word = coolly, count = 3
word = cottages, count = 1
word = counted, count = 1
word = county, count = 8
word = courteously, count = 1
word = covers, count = 3
word = crawled, count = 3
word = creeps, count = 1
word = criminals, count = 1
word = cross, count = 5
word = crouching, count = 3
word = crowds, count = 1
word = cry, count = 8
