word = 07, count = 1
word = 1015, count = 1
word = 106, count = 2
word = 110140, count = 1
word = 115, count = 3
word = 120130, count = 1
word = 124, count = 2
word = 12mo, count = 9
word = 133, count = 4
word = 142, count = 1
word = 151, count = 2
word = 1518, count = 3
word = 159, count = 1
word = 15y, count = 1
word = 16, count = 26
word = 160, count = 1
word = 160000, count = 1
word = 168, count = 1
word = 1725, count = 1
word = 1806, count = 10
word = 1812though, count = 1
word = 1813salute, count = 1
word = 1815, count = 1
word = 186, count = 9
word = 1860, count = 2
word = 1868, count = 1
word = 1895, count = 1
word = 1923, count = 2
word = 195, count = 1
word = 1came, count = 2
word = 1e1, count = 60
word = 1e9, count = 36
word = 1f, count = 12
word = 1menacing, count = 1
word = 1xv, count = 1
word = 2005, count = 1
word = 2023, count = 1
word = 205, count = 1
word = 214, count = 2
word = 223, count = 2
word = 2230, count = 2
word = 232, count = 1
word = 2427, count = 3
word = 25, count = 18
word = 250, count = 2
word = 2500, count = 1
word = 258, count = 1
word = 2600zip, count = 1
word = 2638txt, count = 1
word = 2733, count = 2
word = 294, count = 1
word = 2he, count = 1
word = 30th, count = 2
word = 3183, count = 1
word = 34, count = 7
word = 360348zip, count = 1
word = 3741, count = 1
word = 375, count = 2
word = 3840, count = 3
word = 39290, count = 1
word = 392948txt, count = 1
word = 4245, count = 1
word = 43, count = 7
word = 4551, count = 1
word = 511, count = 1
word = 52, count = 4
word = 61, count = 5
word = 645, count = 2
word = 646221541, count = 12
word = 69, count = 6
word = 7, count = 33
word = 70, count = 11
word = 700, count = 1
word = 70000, count = 1
word = 78, count = 3
word = 816, count = 2
word = 8195, count = 2
word = 87, count = 6
word = 8vi, count = 1
word = 95117, count = 1
word = 96, count = 4
word = aarent, count = 1
word = abandon, count = 55
word = abandoned”, count = 1
word = abandonment, count = 18
word = abbey, count = 62
word = abbots, count = 4
word = aberration, count = 18
word = ablest, count = 2
word = abode, count = 10
word = abolished, count = 7
word = about, count = 4136
word = abouthes, count = 1
word = abruptly, count = 65
word = abruptness, count = 2
word = abstained, count = 2
word = abstention, count = 1
word = absurdities, count = 9
word = abuses, count = 7
word = academician, count = 1
word = acceptance, count = 11
word = accepts, count = 10
word = accessed, count = 12
word = accident, count = 28
word = acclaimed, count = 2
word = acclamations, count = 3
word = acclimated, count = 1
word = accompaniment, count = 13
word = accompany, count = 30
word = accomplishment, count = 13
word = accordingly, count = 23
word = accrue, count = 1
word = accuracy, count = 20
word = acerbity, count = 2
word = acknowledges, count = 2
word = acknowledgmentthis, count = 1
word = acquainted, count = 61
word = acquiesced, count = 1
word = acquiring, count = 4
word = acquisitive, count = 1
word = acrid, count = 1
word = across, count = 282
word = actionhe, count = 1
word = actuated, count = 4
word = adamantinely, count = 1
word = adamson, count = 2
word = adapted, count = 9
word = addedthat, count = 1
word = adele, count = 1
word = adequately, count = 3
word = adherent, count = 3
word = adhesion, count = 1
word = adjoining, count = 21
word = adjourn, count = 1
word = adjust, count = 2
word = adjustment, count = 2
word = adjutant, count = 159
word = admiring, count = 34
word = admonish, count = 4
