word = 142, count = 1
word = 16, count = 1
word = 1b, count = 3
word = 1e1, count = 10
word = 1e5, count = 2
word = 1e9, count = 6
word = 1f, count = 2
word = 1f4, count = 2
word = 2001, count = 2
word = 2009, count = 2
word = 3, count = 6
word = 30, count = 2
word = 3183, count = 1
word = 3183txt, count = 1
word = 38, count = 1
word = 646221541, count = 2
word = 65, count = 1
word = 74, count = 1
word = abbey, count = 60
word = abbots, count = 2
word = about, count = 84
word = accessed, count = 2
word = accident, count = 1
word = accomplishment, count = 2
word = accordance, count = 4
word = accuracy, count = 1
word = acquainted, count = 2
word = adamantinely, count = 1
word = additions, count = 2
word = addressed, count = 1
word = adjoining, count = 1
word = admit, count = 3
word = advantage, count = 1
word = advertisement, count = 1
word = advocate, count = 1
word = affecting, count = 1
word = afraid, count = 4
word = afternoons, count = 1
word = against, count = 5
word = agent, count = 2
word = ago, count = 8
word = ahead, count = 2
word = aimlessly, count = 1
word = airs, count = 1
word = allow, count = 4
word = alone, count = 7
word = also, count = 21
word = alteration, count = 2
word = altogether, count = 4
word = an, count = 51
word = and, count = 1269
word = andandi, count = 1
word = anew, count = 1
word = anguish, count = 1
word = answers, count = 1
word = anxious, count = 6
word = anywhere, count = 5
word = apiece, count = 1
word = appearing, count = 2
word = applied, count = 1
word = approached, count = 2
word = arched, count = 1
word = argument, count = 1
word = armful, count = 1
word = arms, count = 3
word = aroused, count = 1
word = array, count = 2
word = art, count = 10
word = artist, count = 8
word = artistic, count = 6
word = artistmonks, count = 1
word = ashamed, count = 3
word = ask, count = 10
word = ass, count = 4
word = assented, count = 1
word = assure, count = 1
word = assured, count = 1
word = astonishing, count = 1
word = atso, count = 1
word = attitudes, count = 1
word = aunts, count = 1
word = author, count = 2
word = awaited, count = 1
word = awayyou, count = 2
word = bad, count = 1
word = badgering, count = 1
word = balloon, count = 1
word = banks, count = 1
word = barely, count = 1
word = based, count = 4
word = be, count = 147
word = beads, count = 1
word = beak, count = 1
word = beast, count = 1
word = beater, count = 2
word = become, count = 6
word = bed, count = 8
word = bees, count = 2
word = before, count = 53
word = belong, count = 1
word = bending, count = 1
word = beneath, count = 2
word = beseech, count = 1
word = besides, count = 2
word = bewildered, count = 2
word = binding, count = 2
word = bit, count = 7
word = bitterly, count = 2
word = bitterness, count = 1
word = blazing, count = 2
word = blessing, count = 1
word = block, count = 1
word = blond, count = 1
word = blotting, count = 1
word = blushed, count = 2
word = bodily, count = 1
word = boiled, count = 1
word = bombardment, count = 1
word = book, count = 80
word = bookcase, count = 3
word = boundless, count = 1
word = boyhoods, count = 1
word = braided, count = 1
word = brains, count = 1
word = brass, count = 3
word = breakfast, count = 1
word = breaking, count = 1
word = breathe, count = 2
word = brightfaced, count = 1
word = brisk, count = 1
word = broke, count = 3
word = brooded, count = 1
word = brotherhoods, count = 1
word = brought, count = 7
